2020-10-25T17:55:48.520-07:00[America/Los_Angeles]: test successfully logged in!
2020-10-25T17:57:39.367-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:05:59.911-07:00[America/Los_Angeles]: User [asd] had a failed login attempt!
2020-10-25T18:13:03.917-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:20:33.051-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:20:54.251-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:21:03.502-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-25T18:21:25.749-07:00[America/Los_Angeles]: User [null] successfully logged out!
2020-10-25T18:25:25.092-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:25:33.825-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-25T18:34:28.689-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:37:25.810-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T18:37:40.248-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-25T18:47:49.519-07:00[America/Los_Angeles]: User [shelbourn] successfully logged in!
2020-10-25T19:01:34.359-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T19:01:39.024-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-25T19:10:04.974-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-25T19:10:54.654-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T11:15:24.886-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T11:16:08.493-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T11:19:15.161-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T11:19:42.355-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:05:27.368-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:05:57.671-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:09:36.394-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:11:17.728-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:13:13.341-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:20:07.291-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:20:18.255-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:24:00.559-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:25:00.814-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:28:17.492-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:29:46.031-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:31:00.171-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:31:38.945-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:53:17.926-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T12:54:05.353-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T12:59:30.383-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:01:34.455-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:02:35.010-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:02:57.878-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:03:21.018-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:04:20.576-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:04:42.972-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:05:36.844-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:05:58.710-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:06:50.841-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:07:14.033-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:09:51.002-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:10:15.465-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:12:34.194-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:13:39.514-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:13:47.814-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:14:09.785-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:18:49.002-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:19:11.908-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:24:08.490-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:24:32.933-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:26:16.816-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:26:37.895-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:28:04.794-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:28:35.686-07:00[America/Los_Angeles]: User [test] successfully logged out!
2020-10-26T13:29:31.128-07:00[America/Los_Angeles]: User [test] successfully logged in!
2020-10-26T13:29:55.644-07:00[America/Los_Angeles]: User [test] successfully logged out!
